CustomerID,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0152', np.float64(0.9999815692994218))","('C0164', np.float64(0.9999691373270239))","('C0183', np.float64(0.999960399011372))"
C0002,"('C0031', np.float64(0.9998368577488196))","('C0029', np.float64(0.9997944044934609))","('C0010', np.float64(0.9996920105350803))"
C0003,"('C0117', np.float64(0.9996675973669418))","('C0070', np.float64(0.9996317430885981))","('C0006', np.float64(0.9996151036089245))"
C0004,"('C0068', np.float64(0.9999838232271343))","('C0028', np.float64(0.9999759360711772))","('C0145', np.float64(0.9999749005812171))"
C0005,"('C0085', np.float64(0.9998142752606903))","('C0061', np.float64(0.9996272738667601))","('C0115', np.float64(0.9995145614239235))"
C0006,"('C0168', np.float64(0.9999747169760989))","('C0026', np.float64(0.9999405669972695))","('C0070', np.float64(0.9997870145246117))"
C0007,"('C0074', np.float64(0.999928679095199))","('C0167', np.float64(0.9998792322257752))","('C0120', np.float64(0.9996861568119527))"
C0008,"('C0084', np.float64(0.9999260052921941))","('C0017', np.float64(0.9996500840777467))","('C0101', np.float64(0.9996036270726838))"
C0009,"('C0077', np.float64(0.9924058827639903))","('C0015', np.float64(0.9895000031632135))","('C0083', np.float64(0.9894372409858948))"
C0010,"('C0002', np.float64(0.9996920105350803))","('C0029', np.float64(0.9993824293445843))","('C0031', np.float64(0.9993510010014095))"
C0011,"('C0064', np.float64(0.9999679355234249))","('C0183', np.float64(0.999925623220155))","('C0137', np.float64(0.9999065942997948))"
C0012,"('C0013', np.float64(0.9999616644972672))","('C0143', np.float64(0.999925676116139))","('C0046', np.float64(0.9998674967789322))"
C0013,"('C0012', np.float64(0.9999616644972672))","('C0046', np.float64(0.9999598198562014))","('C0108', np.float64(0.9999507480638989))"
C0014,"('C0033', np.float64(0.9953421038129564))","('C0060', np.float64(0.9916200079922921))","('C0058', np.float64(0.956767213920578))"
C0015,"('C0095', np.float64(0.99302074619585))","('C0063', np.float64(0.9902798869442034))","('C0009', np.float64(0.9895000031632135))"
C0016,"('C0187', np.float64(0.9995457323234166))","('C0037', np.float64(0.9995177745080346))","('C0107', np.float64(0.9993213560021968))"
C0017,"('C0113', np.float64(0.9999840405798788))","('C0101', np.float64(0.9999675271712948))","('C0162', np.float64(0.9999605201900792))"
C0018,"('C0149', np.float64(0.9999406095116155))","('C0114', np.float64(0.999897722339137))","('C0148', np.float64(0.9998208149933403))"
C0019,"('C0172', np.float64(0.9998213995015376))","('C0116', np.float64(0.999563269063718))","('C0076', np.float64(0.9994188755598855))"
C0020,"('C0080', np.float64(0.998849476914323))","('C0110', np.float64(0.998366546522))","('C0130', np.float64(0.994474564962802))"
